"" ,"License ->Content in this spreadsheet is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license. Details of the license can be seen here: https://creativecommons.org/licenses/by-nc-sa/4.0","Citation->Recommended citation: India Sand Watch, Veditum India Foundation. Accessed via http://sandwatch.envmonitoring.in on 4/12/2026",
"Title","Would you like to submit this report anonymously?","Date of Observation","Location","Are machines used in the process?","Can you specify types of machines/ equipment","Notes from the location","Pictures","State","District","River","Published Date"
"Sisodra, Narmada District - Narmada River - 18th Feb 2024","No","18-02-2024 18:30:00","Serial Number,Latitude,Longitude
2,21.907764,73.346706
","Yes","Excavators, Trucks, Tractors, Boats","Sisodra","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F20240218_115322_d36c4d65-7c14-4587-9cf8-e5cf93647c9a.jpeg?generation=1757415805568445&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F20240218_115328_01642f08-b19b-4ce1-8ea9-5b47f01e8598.jpeg?generation=1757415806500022&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F20240218_115334_c7925716-a257-49df-9b97-93bd50f1fad3.jpeg?generation=1757415807603818&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F20240218_115345_e56163c4-6efd-419c-9180-a257bb4afb61.jpeg?generation=1757415808585815&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F20240218_115350_2cbfb49c-6dfe-4565-81a4-c17608f32d92.jpeg?generation=1757415809511128&alt=media","Gujarat","Narmada","Narmada","27-09-2025"
"Chhipaner, Harda District -  Narmada River - 2nd Jan 2024 ","No","02-01-2024 18:30:00","Serial Number,Latitude,Longitude
1,22.576946,77.167978
","Yes","Tractors","Small mining operation in chhipaner","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20240102_024604981_4902baf8-906b-49ec-8fb9-440003fce292.jpeg?generation=1757416300070936&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20240102_024616392_181834b2-732d-44cf-83c9-9064400e2b8f.jpeg?generation=1757416301752382&alt=media","Madhya Pradesh","Harda","Narmada","27-09-2025"
"Khireti, Narsimhapur District - Narmada River - 18th Dec 2023","No","18-12-2023 18:30:00","Serial Number,Latitude,Longitude
4,23.015669,78.554122
","Yes","Industrial Excavator and Boats ","Some private company mining operation, in small area but at large scale.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fscr_20250909_mrwk_25f5f10d-53a5-48ae-95c0-cf27871f0978.jpeg?generation=1757417570247252&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20231218_083237173_4ff28010-47a0-4e42-9993-ba3ecef662ba.jpeg?generation=1757417555277350&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20231218_083239506_2be80d4f-a501-4464-a78c-4c2f8c9fa355.jpeg?generation=1757417557779900&alt=media","Madhya Pradesh","Narsimhapur","Narmada","27-09-2025"
"Sagda Jhapani, Jabalpur District - Narmada River - 11th Dec 2023","No","11-12-2023 18:30:00","Serial Number,Latitude,Longitude
1,23.006909,79.924278
","Yes","Tractors","small mining operation local mafias","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20231211_052751099_80b75eac-3bb1-4ffc-a18c-7d4dccad2033.jpeg?generation=1757418114384437&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20231211_052752464_aedea6f9-9b1e-46a2-a824-8be2f8c5f256.jpeg?generation=1757418116674751&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20231211_052842111_f2beb317-6400-4b64-8ca1-459870cdaab4.jpeg?generation=1757418118260950&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20231211_052903380_17bd9cb6-62b3-482e-8c96-760b6c1a9ace.jpeg?generation=1757418119756728&alt=media","Madhya Pradesh","Jabalpur","Narmada","27-09-2025"
"Banda District, UP - Ken River - 8th June 2023","No","08-06-2023 18:30:00","Serial Number,Latitude,Longitude
1,25.4532467,80.3083007
","No","N/A","मल्हा,मांझी और मछुआरा समुदाय जो पहले नाव चलाने और मछली पकड़ने का काम करते थे। अब वे भी माइनिंग गतिविधियों का हिस्सा बन रहे हैं क्यों कि बहुत ज्यादा खनन से  नदी में पानी और मछलीयां दोनों  खत्म हो गए जिससे ये समुदाय बेरोजगार हो गए हैं।


Translation: Fishing and boating communities have now started participating in sand mining activities as the excessive sand mining activity in this region has resulted in massive reduction of water and fish in the river. This has led to unemployment for these communities, and hence a move towards activities such as sand mining.


This case report has been generated based on sightings of sand mining from the India Sand Watch and Veditum network. Have observations of sand mining in Indian rivers? Upload them directly to India Sand Watch or email the details to us at - 
sandwatch@veditum.org","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000379186_c16494d6_677b_4340_8017_eda16380160c_ab8735b8-a102-430c-9cfe-a7413b59b08d.jpeg?generation=1758952822190135&alt=media","Uttar Pradesh","Banda","Ken","27-09-2025"
"Sunhera Bridge, Panna District, MP - Ken River - 14th June 2024","No","14-06-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.0073521,80.2360685
","Yes","JCB, Trucks ","पन्ना के अजयगढ़ में ब्रिज के बिलकुल नीचे दर्जनों जेसीबी द्वारा खनन


Translation: Sand mining with extractors happening just under the Beera Sunhera Bridge in Panna District


This case report has been generated based on sightings of sand mining from the India Sand Watch and Veditum network. Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 
sandwatch@veditum.org","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000320897_53cab922_64ce_412f_8f07_a54cacd9c8a9_f0401479-344b-46f4-9aba-7f253bacdc55.jpeg?generation=1758953020874069&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2F1000320895_afa36972_7649_4fb6_af05_c934f0d4a0c7_67abc487-c926-461d-bb79-a21142297dec.jpeg?generation=1758953014575344&alt=media","Madhya Pradesh","Panna","Ken","27-09-2025"
"Rupnarayan River - Paschim Medinipur, West Bengal - November 14, 2024","No","14-11-2024 18:30:00","Serial Number,Latitude,Longitude
1,22.6485900208354,87.7988750115036
","No","boats  manual scooping","2 boats


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","West Bengal","Paschim Medinipur","Rupnarayan","29-10-2025"
"Rupnarayan River - Paschim Medinipur, West Bengal - November 14, 2024","No","14-11-2024 18:30:00","Serial Number,Latitude,Longitude
1,22.6395890302956,87.8013630118221
","No","boats  manual scooping","1 boat


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 
sandwatch@veditum.org","N/A","West Bengal","Paschim Medinipur","Rupnarayan","29-10-2025"
"Gandak River - Paschim Champaran, Bihar - November 25, 2024","No","25-11-2024 18:30:00","Serial Number,Latitude,Longitude
1,27.4106829799711,83.8614429719746
","No","boats  manual scooping","Stone and gravel collection


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Pashchim Champaran","Gandak","29-10-2025"
"Gandak River - Paschim Champaran, Bihar - November 25, 2024","No","25-11-2024 18:30:00","Serial Number,Latitude,Longitude
1,27.43881,83.906
","No","manual without boats","Stone and gravel collection


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Pashchim Champaran","Gandak","29-10-2025"
"Ganga River - Ballia, Uttar Pradesh - February 11, 2025","No","11-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.596401,83.9942089999999
","Yes","2 cutter suction dredgers (CSD)","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Uttar Pradesh","Ballia","Ganga","29-10-2025"
"Ganga River - Ballia, Uttar Pradesh - February 11, 2025","No","11-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.6003019999999,84.0008499999999
","Yes","6 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Uttar Pradesh","Ballia","Ganga","29-10-2025"
"Ganga River - Ballia, Uttar Pradesh - February 12, 2025","No","12-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.72098,84.1843889999999
","Yes","1 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Uttar Pradesh","Ballia","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 12, 2025","No","12-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.7388159999999,84.6705199999999
","Yes","1 cutter suction dredgers (CSD), 3 sand-mining boats with extractors","3 sand-mining boats


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 12, 2025","No","12-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.7322479999999,84.697263
","Yes","8 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 12, 2025","No","12-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.7239119999999,84.802277
","Yes","4 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 12, 2025","No","12-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.7256399999999,84.813207
","Yes","1 sand-mining boats with extractors bridge construction","bridge construction


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 12, 2025","No","12-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.726931,84.827539
","Yes","140 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.7281289999999,84.83243
","Yes","138 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.725356,84.841262
","Yes","15 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.72472,84.8434189999999
","Yes","6 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.7241649999999,84.846096
","Yes","85 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.723759,84.8490079999999
","Yes","15 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.72237,84.854112
","Yes","7 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.721508,84.856296
","Yes","13 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.7197579999999,84.858699
","Yes","15 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 13, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.716186,84.862847
","Yes","5 sand-mining boats with extractors","NA","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Saran, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.71199,84.865165
","Yes","8 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on  
sandwatch@veditum.org
  ","N/A","Bihar","Saran","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.709502,84.8661859999999
","Yes","20 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.700741,84.8704989999999
","Yes","3 sand-mining boats with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.698328,84.873416
","Yes","17 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","Yes","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.694606,84.875562
","Yes","7 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on  
sandwatch@veditum.org
  ","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.6723579999999,84.896293
","Yes","1 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.662593,84.917929
","Yes","3 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.6596119999999,84.9363599999999
","Yes","2 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.660128,84.9405749999999
","Yes","4 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.6622869999999,84.957175
","Yes","1 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.6633339999999,84.960875
","Yes","7 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.6655459999999,84.9683009999999
","Yes","4 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.6657809999999,84.972339
","Yes","5 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.673344,85.0202749999999
","Yes","4 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.6730039999999,85.0323929999999
","Yes","2 sand-mining boats with extractors, 1 cutter suction dredgers (CSD)","1 dredger


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.666913,85.041133
","Yes","7 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.666174,85.0420569999999
","Yes","1 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.6643979999999,85.0441749999999
","Yes","9 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.658709,85.0502019999999
","Yes","45 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.6558939999999,85.0559109999999
","Yes","8 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.6539999999999,85.0625189999999
","Yes","8 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.653776,85.080955
","Yes","14 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.6538129999999,85.0810939999999
","Yes","1 sand-mining boats with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.653835,85.081181
","Yes","1 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.658809,85.1071029999999
","Yes","2 sand-mining boats with extractors, 1 cutter suction dredgers (CSD)","1 dredger


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.6245249999999,85.171293
","Yes","1 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 13, 2025","No","13-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.6159339999999,85.2040719999999
","Yes","3 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 14, 2025","Yes","N/A","Serial Number,Latitude,Longitude
1,25.6104629999999,85.215151
","Yes","1 sand-mining boats with extractors","NA","N/A","Bihar","Patna","Ganga","29-10-2025"
"Ganga River - Patna, Bihar - February 14, 2025","No","14-02-2025 18:30:00","Serial Number,Latitude,Longitude
1,25.550184,85.2816179999999
","Yes","2 sand-mining boats with extractors","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org","N/A","Bihar","Patna","Ganga","29-10-2025"
